"","file_csv","gscholar_id","group_start","papers_name","title","subtitle","sortby","image","path","destination","papers_end"
"45",NA,NA,"1998","JA Kennerley","James Kennerley","PhD student","Kennerley James",NA,NA,"Research Fellow at Cornell Lab of Ornithology, US","2025"
"46",NA,NA,"1998","M Fusco","Marianna Fusco","Phd student - visiting","Fusco Marianna",NA,NA,"Postdoc at Sapienza University of Rome, Italy","2025"
"47",NA,NA,"1998",NA,"Paul Breeze","Postdoc","Breeze Paul",NA,NA,"Lecturer at King's College London, UK","2025"
"48",NA,NA,"2022","JLA Paijmans","Johanna Paijmans","Postdoc - Marie Curie fellow","Paijmans Johanna",NA,NA,"Lecturer at Bangor University, UK","2025"
"49",NA,NA,"1998",NA,"Iseult Jackson","PhD student - visiting","Jackson Iseult",NA,NA,"Postdoc at Max Planck Institute for Evolutionary Anthropology, Germany","2025"
"50",NA,NA,"2002","H Scales","Helen Scales","PhD student","Scales Helen",NA,NA,"Public Science author","2025"
"51",NA,NA,"2002","JDJ Gilbert","James Gilbert","PhD student","Gilbert James",NA,NA,"Postdoc in the US","2025"
"52",NA,NA,"2003","L Coad","Lauren Coad","PhD student","Coad Lauren",NA,NA,"Postdoc in Oxford, UK","2007"
"53",NA,NA,"2006","AS Lobo","Aaron Lobo","PhD student","Lobo Aaron",NA,NA,"Working for the Nature Conservation Foundation, India","2010"
"54",NA,NA,"2006","J Oates","Jennifer Oates","PhD student","Oates Jennifer",NA,NA,"UK Marine Protected Areas Adviser with Joint Nature Conservation Committee, UK","2014"
"55",NA,NA,"2006","JL Harcourt","Jennifer Harcourt","PhD student","Harcourt Jennifer",NA,NA,"Demand Planner at L'Oreal, UK","2012"
"56",NA,NA,"2006","TZ Ang","Tzo Zen Ang","PhD student","Ang Tzo Zen",NA,NA,"Management Concultant at McKinsey, UK","2013"
"57",NA,NA,"2007","N Qutob","Nouar Qutob","PhD student","Qutob Nouar",NA,NA,"Postdoc at the Weizmann Institute fo Science, Israel","2013"
"58",NA,NA,"2010","AL Vail","Alex Vail","PhD student","Vail Alex",NA,NA,"Wildlife Camera Operator for the BBC Natural History Unit, UK","2014"
"59",NA,NA,"2009","T Carranza","Tharsila Carranza","PhD student","Carranza Tharsila",NA,NA,NA,"2014"
"60",NA,NA,"2010","APB Carneiro","Ana Bertoldi Carneiro","PhD student","Carneiro Ana",NA,NA,"Marine Science Manager at BirdLife, UK","2017"
"61",NA,NA,"2012",NA,"Max Gray","PhD student","Gray Max",NA,NA,"MSc in Science Communication, Imperial College, UK","2017"
"62",NA,NA,"2012","AJ King","Andrew King","Postdoc","King Andrew",NA,NA,"NERC Fellow, Royal Veterinary College, UK","2017"
"63",NA,NA,"2007",NA,"Michael Berumen","Visiting Postdoc","Berumen Michael",NA,NA,"Professor, KAUST, Saudi Arabia","2007"
"64",NA,NA,"2022","MT Vizzari","Teresa Vizzari","Visiting PhD student","Vizzari Teresa",NA,NA,"Postdoc at the University of Ferrara, Italy","2025"
"65",NA,NA,"1998","S Nakayama","Shin Nakayama","Postdoc","Nakayama S",NA,NA,"Data Scientist at the Center for Ocean Solutions, Stanford University, US","2025"
